nombre_cliente,Folio,capital,porcentaje,tipo_contrato,completado,fecha,nombre_ejecutivo
Cathrin Wingate,56-007-4291,4000,27,reestructutacion,1,11/15/2020,Monserrat
Torrin Willmore,23-099-7663,1000,13,reestructutacion,1,10/10/2020,Heber
Wilmar Pund,61-656-7682,3000,13,reestructutacion,1,7/30/2021,Luis
Anestassia Kemmons,96-388-2882,6000,13,nuevo,1,8/29/2019,Perla
Claudia Golthorpp,94-925-1062,4000,60,nuevo,,2/4/2021,Miguel
Ray Jaggard,67-832-4015,4000,27,renovacion,1,12/20/2020,Grisel
Philip Brett,42-445-1412,6000,40,reestructutacion,1,9/6/2020,Horacio
Herb Tolcharde,55-072-1059,5000,27,reestructutacion,1,9/18/2020,Aketzali
Nalani McVitty,51-428-7632,3500,13,reestructutacion,,12/15/2020,Juan
Zoe Upcott,74-804-2639,1000,60,reestructutacion,1,1/28/2020,Juan
Bear Woodbridge,86-557-6943,2000,40,renovacion,1,4/17/2019,Rafael
Brigham Svanini,19-028-1032,5500,40,renovacion,1,3/27/2020,Ángel
Kimmy Gallemore,36-698-1274,1000,60,nuevo,1,7/14/2019,Francisco
Cleopatra Deere,30-897-0364,1500,40,reestructutacion,,9/26/2019,Noa
Lu Slipper,57-053-1829,5000,40,renovacion,,10/25/2021,Juan
Devan Aberdeen,86-814-4518,3000,27,reestructutacion,1,4/28/2020,Natali
Michel Pregal,68-661-8073,1000,40,renovacion,,8/30/2021,Fanny
Gisela Hegel,69-493-1257,5000,13,renovacion,,11/2/2020,Juan
Munmro Lowing,70-224-7100,4000,40,nuevo,,6/30/2021,Jorge
Tommy Walworth,01-631-6134,1000,27,nuevo,1,11/5/2021,Miguel
Joyan Marusyak,45-281-2265,2500,60,reestructutacion,1,5/30/2021,Miguel
Humberto Gyrgorwicx,38-005-4378,4500,40,renovacion,1,5/19/2020,Luis
Simone Venus,88-716-0640,5500,40,renovacion,1,5/13/2021,Ismael
Letty Dumbleton,83-867-4665,6000,27,renovacion,1,3/24/2022,Dulce
Ariella Curd,06-253-3013,5000,27,nuevo,1,3/31/2020,Saul
Rab Whitlam,19-446-6797,4500,40,nuevo,1,6/22/2019,Perla
Sadella Plummer,49-091-8865,1500,13,renovacion,,7/14/2020,Ángel
Jaimie Parlor,87-066-3583,2000,13,renovacion,1,9/22/2021,Perla
Mathilde Roust,42-501-6021,3000,13,renovacion,1,4/11/2021,Fabiola
Brigham Clemanceau,79-767-7023,3000,60,reestructutacion,,6/30/2019,Monica
Madonna Union,52-968-7528,3500,40,renovacion,,10/21/2020,Sandra
Libbie Krook,33-992-2698,6000,13,reestructutacion,,11/18/2020,Saul
Gwyneth Bandy,20-493-7619,2000,60,reestructutacion,1,3/14/2020,Cristobal
Teri Silson,07-018-7435,3500,27,reestructutacion,1,11/29/2021,Felipe
Aviva Feehily,39-161-2114,4000,13,reestructutacion,1,6/17/2021,Ismael
Jordain Wreight,22-520-0121,5500,27,renovacion,1,3/4/2021,Ismael
Rey Rainsden,45-286-6006,2500,27,reestructutacion,,11/27/2020,Anthony
Demetris Sandys,00-458-9756,2500,13,reestructutacion,1,4/8/2022,Miguel
Nickolai Leckey,55-728-6336,5000,13,reestructutacion,1,5/20/2019,Jose
Neille Tyrwhitt,67-431-5733,5500,60,renovacion,1,9/27/2019,Cristobal
Taddeusz Shutte,06-015-5223,4500,40,renovacion,1,6/6/2020,Blas
Gay Matschke,68-046-8952,3000,60,renovacion,1,9/26/2019,Dulce
Delilah Rogan,96-790-0049,2500,40,nuevo,1,8/17/2020,Saul
Katheryn Searston,50-725-2410,3500,60,nuevo,1,9/3/2021,Rosa
Karim Wenden,28-277-5347,2500,13,renovacion,,1/21/2020,Saul
Edgard Tomasz,26-515-1342,4000,13,reestructutacion,1,9/25/2019,Rafael
Alyssa Batterton,63-608-0321,4000,40,reestructutacion,,8/14/2021,Mitchel
Miles Durnin,21-762-2391,1000,40,nuevo,,8/25/2021,Grisel
Lorrie Waistall,98-395-6054,3000,13,renovacion,1,7/14/2020,Jose
Avivah Kynman,36-305-3475,5000,40,nuevo,,3/20/2022,Natali
Regan Duhig,91-234-4589,4500,27,nuevo,1,11/26/2021,Aketzali
Heinrik Rames,85-785-2160,3000,40,renovacion,1,11/8/2019,Alvaro
Otho Cescon,75-184-8995,5000,40,reestructutacion,1,5/24/2019,Belen
Omar Ranking,35-404-6133,2500,27,reestructutacion,1,11/1/2019,Juan
Latashia Nelius,64-119-3673,3000,60,nuevo,,5/28/2020,
Aubry Gritland,75-427-4616,5500,60,nuevo,1,7/3/2020,Monica
Joyce Karolovsky,97-729-6249,3000,13,reestructutacion,,5/23/2021,Fabiola
Carlen Cassimer,39-553-4087,4000,40,nuevo,,7/22/2020,Rafael
Sydel Yarr,68-458-1367,3000,27,nuevo,1,2/9/2022,Rafael
Sara Falks,80-950-1875,5500,60,renovacion,1,7/8/2021,Miguel
Selinda Kinman,78-102-2846,6000,27,nuevo,1,1/21/2020,Alvaro
Wyndham Iverson,87-500-6304,1000,27,renovacion,1,6/27/2021,Mitchel
Andeee Graveney,55-904-2854,1500,13,reestructutacion,,7/20/2020,Fanny
Olvan Kruger,99-832-8412,1000,40,nuevo,1,10/13/2020,Luis
Johnette Varrow,98-767-8762,4500,27,renovacion,,10/18/2020,Saul
Willem Bunney,67-572-3515,4500,27,nuevo,1,8/30/2021,Belen
Rivi Walcher,77-307-8100,1000,13,renovacion,1,5/27/2019,Rafael
Sayers Dovermann,86-447-8117,5000,27,renovacion,1,6/29/2020,Blas
Guilbert Farthin,16-654-6838,6000,27,renovacion,1,9/11/2021,Anthony
Marthena Chittenden,64-505-0086,3000,40,reestructutacion,,4/7/2022,Mitchel
Ashleigh Dobson,03-564-3634,1500,40,nuevo,1,8/11/2020,Aketzali
Ted Vaughan,94-850-0290,3000,60,nuevo,1,9/20/2021,Rosa
Bea Ingold,82-386-9397,5000,27,nuevo,,11/1/2021,Fabiola
Viv Acory,76-842-7108,3500,60,reestructutacion,1,6/17/2021,Blas
Sterne Pamplin,07-667-4989,5000,60,renovacion,1,11/27/2021,Mitchel
Halimeda Gwatkins,24-293-2526,4000,13,nuevo,1,6/21/2021,Aketzali
Conney Robak,84-215-6228,3500,13,nuevo,1,2/12/2022,Noa
Clint Akitt,82-680-3813,5000,40,nuevo,,10/18/2019,Horacio
Pammie Corcut,48-183-1653,6000,60,renovacion,1,3/11/2022,Efraín
